skid,celltype,axonIO_ratio
7616956,MBIN,3.162790698
7983899,MBIN,2.652941176
8318678,KC,1.710526316
10673895,MBIN,1.615044248
4381377,MBIN,1.5
8814524,PN-somato,1.409090909
8319311,MBIN,1.388888889
17354414,pre-DN-VNC,1.32
8271034,LN,1.307692308
17340973,PN-somato,1.304878049
15722306,KC,1.243902439
3021609,pre-DN-VNC,1.21875
8689674,MBIN,1.182539683
13564607,pre-DN-VNC,1.156862745
4414163,MBIN,1.112531969
17173852,pre-DN-VNC,1.075313808
17295912,MBIN,1.072847682
4982172,KC,1.051282051
16327998,pre-DN-VNC,1.017467249
12475432,MBIN,1.010600707
677717,KC,1
10581624,pre-DN-VNC,1
15404207,MBIN,0.993865031
16353832,MBIN,0.98013245
4570270,LN,0.977272727
12871993,MBIN,0.974860335
14319960,KC,0.973684211
15592096,MBIN,0.964125561
4414184,MBIN,0.944071588
8427677,KC,0.943661972
11691640,KC,0.931034483
14255342,KC,0.927536232
8480418,LN,0.9
5474852,LN,0.895424837
19167389,pre-DN-VNC,0.890625
3522293,KC,0.8875
4116174,DN-SEZ,0.885714286
10018260,LHN,0.880701754
9847388,KC,0.878504673
17379372,LHN,0.873303167
4884579,MBIN,0.871111111
17173922,PN-somato,0.845849802
7897469,MBON,0.845744681
15734988,KC,0.843283582
16625432,KC,0.836734694
4381129,MBIN,0.831578947
8504660,KC,0.820754717
16475849,MB-FBN,0.819444444
16561284,PN-somato,0.814345992
7851153,PN,0.8
3819171,KC,0.791208791
7838405,KC,0.784810127
17591442,LN,0.775147929
7901791,MBIN,0.769662921
10169396,KC,0.763636364
15539984,pre-DN-VNC,0.741573034
3347834,KC,0.740458015
16823703,MB-FBN,0.737704918
2506050,MBIN,0.737623762
16440704,KC,0.735632184
16017113,KC,0.726315789
8203947,LHN,0.725888325
16631248,KC,0.723214286
7910624,MBON,0.719211823
8700125,LN,0.714285714
9730873,KC,0.712121212
16240569,MBIN,0.711934156
19091995,pre-DN-VNC,0.710526316
9707941,KC,0.704081633
5836181,KC,0.704
5835815,KC,0.702380952
8271875,pre-DN-VNC,0.692307692
20316708,pre-DN-VNC,0.689655172
14756000,PN,0.686956522
8161148,pre-DN-VNC,0.682080925
15691114,KC,0.675324675
8864096,KC,0.666666667
16089743,LHN,0.663212435
8924186,KC,0.663043478
10865025,DN-SEZ,0.654471545
7057894,MBIN,0.650831354
16627950,KC,0.646017699
16015738,KC,0.64028777
3890028,MBIN,0.636363636
14519048,KC,0.632432432
7196392,KC,0.628140704
6611894,MBIN,0.626530612
19092010,pre-DN-VNC,0.625
3926438,RGN,0.625
3234817,LN,0.623214286
9714476,pre-DN-VNC,0.619631902
9897223,KC,0.616438356
17952967,LHN,0.615384615
4241192,KC,0.609756098
8393981,KC,0.608391608
7868195,KC,0.605734767
8835968,KC,0.604790419
9531722,KC,0.604026846
8419602,KC,0.603960396
11785627,KC,0.6
8068173,KC,0.599118943
7690945,KC,0.597701149
8248706,KC,0.592857143
16939375,KC,0.590163934
12217572,KC,0.59
8274902,KC,0.587443946
9813188,KC,0.587378641
3886356,MBIN,0.586283186
16630024,KC,0.585106383
3497901,KC,0.583892617
29,KC,0.573684211
3587612,KC,0.570552147
17125520,LHN,0.570135747
2775707,PN,0.567567568
7829784,KC,0.567251462
8997281,KC,0.567010309
5836197,KC,0.563342318
8509987,KC,0.560606061
12726582,KC,0.558139535
7980369,MB-FBN,0.556962025
7026287,MB-FBN,0.55625
8066542,KC,0.556064073
15571194,LN,0.554216867
5966099,MBIN,0.550102249
6702830,KC,0.548571429
7600311,LN,0.547619048
14214039,CN,0.547058824
7891312,KC,0.54245283
4201555,MB-FBN,0.538860104
17147410,KC,0.532786885
4665186,LN,0.532019704
3819157,KC,0.52972973
5164129,pre-DN-VNC,0.526627219
16545264,pre-DN-VNC,0.525714286
8263140,KC,0.524793388
8922644,MBON,0.522167488
9252296,MB-FBN,0.520833333
4415241,KC,0.520426288
15861524,KC,0.519337017
9983191,KC,0.518518519
16631222,KC,0.518248175
16629931,KC,0.515789474
8559607,KC,0.51417004
12839441,LHN,0.511764706
14522124,KC,0.509433962
8118474,KC,0.504553734
8850802,KC,0.504081633
10259967,KC,0.503448276
5937084,KC,0.502835539
5993001,DN-SEZ,0.5
8263285,KC,0.5
8262372,KC,0.498989899
5836387,KC,0.497737557
16444327,KC,0.496774194
16630941,KC,0.495702006
8177991,KC,0.494505495
3664102,KC,0.491304348
16366055,pre-DN-VNC,0.488372093
12390459,PN-somato,0.487179487
8513389,KC,0.487179487
7897051,LN,0.486486486
4117305,KC,0.486263736
7828725,KC,0.486238532
15488316,MB-FBN,0.483516484
17671219,LN,0.483516484
5681132,MB-FBN,0.482269504
12868041,CN,0.482051282
15662776,CN,0.481927711
10340880,LHN,0.480446927
15639294,DN-VNC,0.480314961
18551732,pre-DN-VNC,0.478599222
5835799,KC,0.477900552
8102935,LN,0.476923077
16440649,KC,0.476190476
14460113,KC,0.475490196
7941642,LN,0.475
15894178,DN-VNC,0.470899471
14541927,MBIN,0.468531469
8297018,MBON,0.465517241
13137623,pre-DN-VNC,0.465116279
9927082,PN,0.464285714
17654645,pre-DN-VNC,0.463414634
16039470,KC,0.463356974
15732471,LHN,0.463157895
12371688,LHN,0.462809917
8198513,LN,0.462321792
12026822,DN-SEZ,0.462068966
4414426,KC,0.460122699
15722867,KC,0.459649123
16720240,KC,0.458823529
16709072,pre-DN-VNC,0.458333333
16667306,DN-VNC,0.458333333
4444354,KC,0.456756757
16210988,KC,0.456521739
8413663,KC,0.456338028
5836035,KC,0.455555556
16547281,pre-DN-VNC,0.454976303
17340931,CN,0.453658537
3347708,KC,0.453539823
16438190,KC,0.451923077
4247099,LN,0.450310559
4235139,MBIN,0.449101796
4114133,MB-FBN,0.447619048
7840203,KC,0.446640316
9889095,KC,0.444444444
4227544,KC,0.443820225
8540770,MB-FBN,0.441176471
13634759,PN,0.440789474
5019924,KC,0.439429929
14898295,KC,0.438502674
9609048,KC,0.433333333
9809626,KC,0.432773109
5836206,KC,0.429166667
9583435,MB-FFN,0.429042904
9556700,KC,0.428884026
16977881,KC,0.428571429
12367135,pre-DN-VNC,0.428571429
4134539,KC,0.428571429
9585013,LHN,0.425837321
9766793,KC,0.425692695
8891315,KC,0.42519685
4230061,KC,0.424187726
18302931,pre-DN-VNC,0.422680412
6704232,KC,0.419213974
9525492,KC,0.418848168
5836163,KC,0.418552036
13751194,RGN,0.416666667
16627773,KC,0.416058394
8798010,MBON,0.415282392
7571966,DN-VNC,0.414634146
7187384,KC,0.414211438
10079731,PN-somato,0.413533835
9078240,pre-DN-VNC,0.413333333
11813287,KC,0.412663755
7055857,MBON,0.412556054
9057998,CN,0.411764706
16627861,KC,0.410614525
13953184,pre-DN-SEZ,0.408163265
9015745,MB-FFN,0.408163265
6143930,pre-DN-VNC,0.407673861
4229950,KC,0.405844156
12928099,CN,0.405405405
8198416,LN,0.404006678
3814651,LHN,0.403361345
4230739,KC,0.403263403
14127447,MB-FFN,0.400862069
15722990,pre-DN-VNC,0.398373984
7941652,LN,0.397959184
13722900,pre-DN-VNC,0.397905759
8177199,LHN,0.397727273
7335439,DN-VNC,0.397260274
11725127,KC,0.393822394
8318813,CN,0.392857143
16978882,MB-FFN,0.392561983
4127707,LHN,0.392156863
5786898,pre-DN-VNC,0.392156863
8347720,pre-DN-VNC,0.392156863
7058243,MB-FFN,0.391472868
16541149,PN-somato,0.388888889
11725803,KC,0.38791423
19989037,PN-somato,0.386046512
16014701,PN-somato,0.385245902
16683943,RGN,0.384615385
15566333,CN,0.383084577
8939384,PN-somato,0.382716049
16856617,LN,0.382113821
16629757,KC,0.381909548
2650887,pre-DN-VNC,0.380530973
16850888,KC,0.37947494
3820148,LN,0.378378378
16630264,KC,0.376963351
16630385,KC,0.376906318
15343835,MB-FBN,0.374331551
20172310,LN,0.373333333
17356454,DN-SEZ,0.373134328
19298644,DN-VNC,0.368421053
15474790,CN,0.368421053
8262302,KC,0.367383513
12089601,PN,0.367346939
10167116,DN-SEZ,0.366972477
10056280,KC,0.366602687
17454636,pre-DN-VNC,0.366336634
4311241,pre-DN-VNC,0.366120219
12262910,MB-FBN,0.365384615
5051342,KC,0.365296804
16571210,DN-VNC,0.364238411
9201911,LHN,0.363636364
17352824,pre-DN-VNC,0.362318841
16627838,KC,0.361173815
8801715,pre-DN-VNC,0.36097561
16856369,PN-somato,0.36
15974183,CN,0.36
9384504,pre-DN-VNC,0.359447005
14540633,MB-FBN,0.359430605
15517247,pre-DN-VNC,0.358974359
10583715,pre-DN-VNC,0.35862069
4412036,KC,0.357651246
8821758,PN-somato,0.357142857
11691603,KC,0.355640535
15478720,MB-FFN,0.355263158
12299621,LHN,0.354740061
12281339,LHN,0.354285714
17357979,pre-DN-VNC,0.354005168
16339645,CN,0.353448276
6154200,DN-VNC,0.353383459
7574701,MB-FBN,0.353333333
7982896,LHN,0.352173913
9236708,CN,0.351648352
14898816,KC,0.350943396
8865199,KC,0.349019608
7786053,KC,0.348571429
4195012,MBON,0.347826087
2920061,LN,0.347222222
8247641,LN,0.346534653
4591713,pre-DN-VNC,0.346405229
11838242,PN,0.345454545
7694589,LN,0.34375
16087799,PN,0.342105263
16906721,PN,0.340909091
9051960,CN,0.340248963
4227304,KC,0.340206186
16560178,pre-DN-VNC,0.34006734
9796812,KC,0.340036563
8034919,LHN,0.339393939
17083341,pre-DN-VNC,0.339181287
4473922,MB-FBN,0.33908046
5746180,pre-DN-VNC,0.338983051
16629788,KC,0.338862559
7980189,CN,0.338461538
4575178,CN,0.338461538
17108278,PN-somato,0.337209302
9051500,PN-somato,0.337209302
8307514,LHN,0.335714286
8037197,LN,0.335025381
18035864,MB-FBN,0.33431085
17360010,pre-DN-VNC,0.333333333
16561429,LN,0.333333333
5590611,PN,0.333333333
4412315,KC,0.332552693
13849557,pre-DN-VNC,0.331592689
17728605,DN-SEZ,0.330275229
3232808,LHN,0.329896907
14514597,LHN,0.328431373
8078096,MB-FBN,0.328042328
3793760,PN-somato,0.327160494
4749004,pre-DN-VNC,0.326923077
11841664,pre-DN-VNC,0.326530612
8338584,MBON,0.326315789
16435965,KC,0.326039387
16631114,KC,0.325870647
8273369,LN,0.325842697
9068024,pre-DN-VNC,0.325688073
17328580,pre-DN-SEZ,0.325581395
4411505,KC,0.325443787
5395823,MBON,0.325358852
3414508,DN-SEZ,0.324909747
11051740,MB-FFN,0.324041812
8118929,PN,0.323529412
4241237,MBON,0.323232323
16347476,pre-DN-VNC,0.322580645
16181377,LHN,0.322115385
14726069,pre-DN-VNC,0.321192053
16434560,pre-DN-SEZ,0.320987654
5936935,pre-DN-VNC,0.320610687
17384874,pre-DN-SEZ,0.320224719
8159396,DN-SEZ,0.319796954
9294475,LHN,0.319277108
8138616,LHN,0.318965517
15721919,KC,0.318734793
9251793,MB-FBN,0.3183391
7056904,pre-DN-SEZ,0.317757009
18292832,LHN,0.317460317
14680483,pre-DN-VNC,0.317073171
8161142,pre-DN-VNC,0.316091954
4393350,PN-somato,0.315789474
17013169,LHN,0.315789474
9109799,MBON,0.314893617
17776982,DN-SEZ,0.314814815
17658884,pre-DN-VNC,0.311688312
3539170,DN-SEZ,0.31097561
19508873,DN-VNC,0.310810811
5516552,MB-FBN,0.310606061
15590555,pre-DN-SEZ,0.30952381
17813457,pre-DN-VNC,0.309352518
3815483,LHN,0.309090909
17877682,DN-VNC,0.309090909
9983417,pre-DN-VNC,0.309090909
10017944,pre-DN-VNC,0.309012876
7431625,LHN,0.308943089
11703922,LHN,0.308457711
16335254,pre-DN-VNC,0.308411215
12000033,DN-SEZ,0.307692308
15250080,DN-SEZ,0.307377049
16913476,pre-DN-VNC,0.30726257
9792178,LN,0.306930693
16058860,KC,0.306905371
2921933,LN,0.306010929
17777031,DN-VNC,0.305439331
7955278,DN-SEZ,0.305263158
5321459,MB-FBN,0.304945055
4190567,MB-FBN,0.303571429
12252572,pre-DN-VNC,0.303030303
15481779,pre-DN-VNC,0.302884615
4230749,MBON,0.302788845
7338309,DN-SEZ,0.302325581
7394271,LN,0.30212766
9641919,CN,0.301507538
15617305,MBON,0.301449275
16178283,MBON,0.301169591
5859372,pre-DN-VNC,0.300970874
16115575,DN-VNC,0.300395257
17379360,DN-SEZ,0.3
9445876,LN,0.3
10018161,DN-SEZ,0.3
15684934,PN-somato,0.3
4379603,LHN,0.3
3299214,MBON,0.3
14133114,LHN,0.299363057
10922928,pre-DN-VNC,0.299145299
10682660,MB-FBN,0.299065421
7688300,pre-DN-VNC,0.298850575
16361363,pre-DN-SEZ,0.29787234
8231264,LN,0.297687861
4401350,MBON,0.29707113
8262503,KC,0.296836983
14241490,pre-DN-VNC,0.296774194
8348277,pre-DN-VNC,0.296296296
10758204,pre-DN-VNC,0.296178344
11891098,pre-DN-VNC,0.295774648
9457719,MB-FBN,0.294117647
17814107,DN-SEZ,0.294117647
4518546,KC,0.293981481
9961098,pre-DN-VNC,0.293577982
9521722,LN,0.293103448
8019816,MB-FBN,0.292397661
14948339,CN,0.292237443
17315288,pre-DN-SEZ,0.292134831
9034378,pre-DN-VNC,0.291970803
15594113,pre-DN-SEZ,0.291814947
15512404,pre-DN-VNC,0.291479821
17537254,DN-VNC,0.290780142
15431408,pre-DN-VNC,0.290598291
9212816,CN,0.289473684
10792617,pre-DN-VNC,0.289473684
16089738,CN,0.287356322
15421363,MBON,0.287197232
19857577,pre-DN-VNC,0.285714286
16950115,pre-DN-VNC,0.284671533
858479,DN-SEZ,0.284313725
16472086,PN-somato,0.284210526
16485518,PN-somato,0.283950617
7421507,MB-FFN,0.283842795
17980792,MB-FBN,0.283783784
17591687,LHN,0.283783784
15668309,MB-FBN,0.28358209
7612147,LHN,0.283298097
3498479,DN-SEZ,0.283276451
16386470,LHN,0.283261803
19611917,LHN,0.283185841
17360254,PN-somato,0.283018868
12233237,MB-FBN,0.282868526
16935790,PN-somato,0.282828283
17237305,CN,0.282786885
16924423,pre-DN-VNC,0.282608696
13852833,MB-FBN,0.281954887
14206030,CN,0.281690141
4411688,MB-FBN,0.281609195
17047087,LHN,0.28125
4154421,PN,0.280612245
15676016,pre-DN-VNC,0.280254777
8981761,LHN,0.279761905
11528017,MB-FBN,0.279352227
16846902,CN,0.278947368
13365464,CN,0.278606965
10710503,LHN,0.278409091
17355757,MBON,0.278177458
2355126,RGN,0.277777778
15467736,pre-DN-VNC,0.277227723
12366224,pre-DN-VNC,0.277108434
18500915,CN,0.27672956
7005184,DN-VNC,0.276315789
18929470,DN-VNC,0.276119403
10781924,pre-DN-VNC,0.276102088
9795662,DN-SEZ,0.275700935
8069432,PN,0.275700935
16574328,PN-somato,0.275229358
10918898,pre-DN-VNC,0.275132275
6445994,DN-SEZ,0.274576271
4966994,pre-DN-VNC,0.272340426
11359482,PN-somato,0.27173913
18598859,LN,0.271676301
14083681,MB-FBN,0.271653543
13953546,CN,0.271551724
12598741,pre-DN-VNC,0.271255061
7982307,DN-VNC,0.271186441
14757992,LN,0.271084337
14726012,pre-DN-VNC,0.270491803
3931398,PN-somato,0.270072993
13411445,pre-DN-VNC,0.269911504
17036160,PN,0.26984127
11278919,pre-DN-VNC,0.26875
4199033,MB-FBN,0.268585132
8993049,pre-DN-SEZ,0.266903915
18111410,pre-DN-VNC,0.266331658
2628785,PN,0.266009852
17822238,LN,0.265306122
16547292,pre-DN-VNC,0.264248705
16856539,MB-FBN,0.263929619
3436420,DN-SEZ,0.263586957
